year,Base case cost,Feasinility assessment for biomass heating system
2019,406854.168193,428397.031032
2020,420096.606594,438439.511558
2021,429366.313475,445015.697075
2022,435987.532675,449292.930569
2023,441284.508036,452438.576142
2024,445257.239556,454451.774661
2025,449892.092997,457084.052908
2026,455851.190277,460918.713477
2027,460486.043718,463618.468565
2028,464458.775238,465766.658719
2029,469755.750599,469114.886659
2030,473066.360199,470741.79761
2031,479025.457479,474735.517293
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
