year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,14530.19,928341.0,928341.0
2004,,14530.19,934918.0,934918.0
2005,,14530.19,1026337.0,1026337.0
2006,,14530.19,969727.0,969727.0
2007,,14530.19,981235.0,981235.0
2008,,14530.19,961245.0,961245.0
2009,,14530.19,1005070.0,1005070.0
2010,,14530.19,1011054.0,1011054.0
2011,,14530.19,1015901.0,1015901.0
2012,,14530.19,811114.0,811114.0
2013,,14530.19,947904.0,947904.0
2014,start of forecast,14530.19,960000.0,960000.0
2015,,14530.19,960000.0,960000.0
2016,,14530.19,961000.0,961000.0
2017,,14530.19,961000.0,961000.0
2018,,14530.19,961000.0,961000.0
2019,,14530.19,962000.0,962000.0
2020,,14530.19,962000.0,962000.0
2021,,14530.19,963000.0,963000.0
2022,,14530.19,963000.0,963000.0
2023,,14530.19,963000.0,963000.0
2024,,14530.19,964000.0,964000.0
2025,,14530.19,964000.0,964000.0
2026,,14530.19,964000.0,964000.0
2027,,14530.19,965000.0,965000.0
2028,,14530.19,965000.0,965000.0
2029,,14530.19,966000.0,966000.0
2030,,14530.19,966000.0,966000.0
2031,,14530.19,967000.0,967000.0
2032,,14530.19,967000.0,967000.0
2033,,14530.19,967000.0,967000.0
2034,,14530.19,968000.0,968000.0
2035,,14530.19,968000.0,968000.0
2036,,14530.19,969000.0,969000.0
2037,,14530.19,969000.0,969000.0
2038,,14530.19,970000.0,970000.0
2039,,14530.19,970000.0,970000.0
2040,,14530.19,971000.0,971000.0
