year,Base case cost,Modeled transmission and interties
2021,279367.851579,628219.744607
2022,287193.281595,636661.348923
2023,292671.082607,642992.55216
2024,297675.132247,648254.310199
2025,303158.621526,653887.890372
2026,309425.466415,660929.865589
2027,315235.624734,667624.855513
2028,319940.634059,672559.351633
2029,326552.0254,679272.60394
2030,329691.948721,683506.555015
2031,337105.385692,690943.728219
2032,343391.733211,698714.007304
2033,350463.87417,705777.897382
2034,357905.752476,713952.140398
2035,362625.388772,718901.97692
2036,370086.769708,727097.404302
2037,374811.281662,732052.354292
2038,382292.165226,740268.966039
2039,387809.784106,746646.190483
2040,396100.026788,755594.758576
