year,Base case cost,Modeled non-residential ashp
2017,75000.3444232,34735.7426459
2018,82155.4760813,24789.0773184
2019,91968.2280695,11758.8583879
2020,96874.6040636,4523.70999981
2021,100145.521393,-756.970366773
2022,102598.70939,-5043.93632528
2023,104438.600388,-8577.96510693
2024,105869.626719,-11599.8156
2025,107505.085384,-14830.1999142
2026,109753.841048,-18749.8267264
2027,111593.732046,-22159.4870708
2028,113024.758377,-25059.8840036
2029,115069.081708,-28651.6328112
2030,116091.243374,-31015.5178277
2031,118339.999038,-34792.0372617
