year,Base case cost,Modeled residential ashp
2017,298983.816537,1984854.0685
2018,330123.059034,1874623.66602
2019,373187.427989,1735923.6123
2020,393331.114033,1653362.45531
2021,406365.263825,1589176.02504
2022,416002.163209,1530579.60408
2023,423228.348281,1478542.20504
2024,427530.116547,1432533.00808
2025,432418.44803,1383686.98827
2026,440666.080237,1330640.7981
2027,445420.128212,1283004.67063
2028,448949.844189,1238912.5271
2029,454140.116238,1188874.76482
2030,456948.866044,1145313.51618
2031,461949.389658,1096308.52535
