year,Base case cost,Modeled solar power (pv)
2016,4265044.65992,4741754.93843
2017,5216263.87102,5669117.31538
2018,5965561.44366,6397767.0012
2019,7003204.46273,7411301.63642
2020,7493140.5774,7884914.22923
2021,7810158.06337,8188246.07818
2022,8069358.47451,8434821.89354
2023,8270910.46616,8624785.69252
2024,8414632.70212,8757931.93223
2025,8587158.22443,8919760.80963
2026,8817491.94497,9138913.7623
2027,8989988.30132,9301212.46029
2028,9133656.64367,9435282.33029
2029,9334729.93316,9626268.36409
2030,9478158.60741,9760553.60469
2031,9679395.47989,9952159.49983
2032,9909202.94509,10172209.9403
2033,10139203.1592,10392677.2365
2034,10397757.481,10641573.9698
2035,10541074.5637,10776818.0635
