year,Base case cost,Modeled residential ashp
2017,244593.273869,442782.389126
2018,265325.209035,457086.465001
2019,284584.387955,469116.01615
2020,301039.154932,480305.755803
2021,315140.817068,489720.758253
2022,327838.660827,498110.595843
2023,331289.85982,497630.519492
2024,341955.055183,504541.54744
2025,353356.340939,512166.194815
2026,357570.445418,512579.399277
2027,369226.47456,520606.263347
2028,380414.564243,528335.215181
2029,393021.204524,537354.459254
2030,395590.154786,536700.489506
2031,409093.77602,546651.968098
