year,Base case cost,Modeled transmission and interties
2021,163610.432324,1778121.78198
2022,169025.272774,1758297.70165
2023,173160.657253,1737796.72595
2024,176804.822028,1717515.88798
2025,180750.572854,1697964.35582
2026,185521.115832,1680051.15467
2027,189798.154365,1662321.29429
2028,193299.141924,1644077.17015
2029,198183.160462,1627456.84718
2030,201476.236426,1609754.81971
2031,206983.98975,1595012.64715
2032,211696.652577,1580091.22074
2033,216993.447982,1565670.03442
2034,222326.799272,1552151.3232
2035,226335.761315,1537767.3472
2036,231741.462794,1525201.74614
2037,235816.682378,1511325.20519
2038,241294.734046,1499670.30224
2039,245674.586005,1487611.59231
2040,252127.461269,1477591.89057
