year,Base case cost,"Eagle (eagle village, american creek)"
2021,161045.389447,921055.714213
2022,166184.182161,925173.016164
2023,169702.16157,927975.952039
2024,172140.585386,929903.630474
2025,175639.325891,932687.327444
2026,180193.943336,936322.603203
2027,183670.485105,939084.101438
2028,186073.390945,940976.261896
2029,190061.592111,944147.270453
2030,192447.47892,946022.41188
2031,197218.904017,949874.49529
2032,201178.986785,953017.385448
2033,205368.065051,956287.122027
2034,210352.206573,960249.772786
2035,212689.256163,962076.076995
2036,217953.841711,966319.171781
2037,220801.810742,968554.246353
2038,225215.836195,972048.93012
2039,229092.303726,975108.20504
2040,234334.690539,979329.10109
2041,234003.929378,978998.339929
2042,233673.168216,978667.578768
2043,233673.168216,978667.578768
2044,233342.407055,978336.817607
2045,233342.407055,978336.817607
2046,233011.645894,978006.056446
2047,233011.645894,978006.056446
2048,232680.884733,977675.295285
2049,232680.884733,977675.295285
2050,232350.123572,977344.534124
