year,Base case cost,Modeled transmission and interties
2021,154950.846624,2048104.68588
2022,159654.628693,2051178.149
2023,163061.968556,2053547.89296
2024,165953.889062,2055439.13822
2025,169391.875482,2057830.11509
2026,173648.960774,2060469.06196
2027,177120.379801,2062882.78837
2028,180912.194645,2065436.80362
2029,184869.315158,2067877.07116
2030,187434.339062,2069848.69813
2031,192270.922875,2072569.54336
2032,196284.693082,2075413.99443
2033,201177.92659,2078539.02318
2034,206104.592706,2081685.28484
2035,209691.16849,2084105.07779
2036,214679.127719,2087290.77199
2037,217854.2967,2089743.93094
2038,222454.994897,2092675.58859
2039,227051.97836,2095835.49997
2040,232167.167232,2099178.92433
