year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,6985.38,377836.0,377836.0
2004,,6985.38,371616.0,371616.0
2005,,6985.38,382296.0,382296.0
2006,,6985.38,391399.0,391399.0
2007,,6985.38,388648.0,388648.0
2008,,6985.38,321769.0,321769.0
2009,,6985.38,399520.0,399520.0
2010,,6985.38,428093.0,428093.0
2011,,6985.38,428754.0,428754.0
2012,,6985.38,509097.0,509097.0
2013,,6985.38,459680.0,459680.0
2014,start of forecast,6985.38,459000.0,459000.0
2015,,6985.38,460000.0,460000.0
2016,,6985.38,462000.0,462000.0
2017,,6985.38,463000.0,463000.0
2018,,6985.38,464000.0,464000.0
2019,,6985.38,466000.0,466000.0
2020,,6985.38,468000.0,468000.0
2021,,6985.38,470000.0,470000.0
2022,,6985.38,471000.0,471000.0
2023,,6985.38,472000.0,472000.0
2024,,6985.38,474000.0,474000.0
2025,,6985.38,475000.0,475000.0
2026,,6985.38,477000.0,477000.0
2027,,6985.38,478000.0,478000.0
2028,,6985.38,481000.0,481000.0
2029,,6985.38,482000.0,482000.0
2030,,6985.38,484000.0,484000.0
2031,,6985.38,486000.0,486000.0
2032,,6985.38,487000.0,487000.0
2033,,6985.38,489000.0,489000.0
2034,,6985.38,491000.0,491000.0
2035,,6985.38,493000.0,493000.0
2036,,6985.38,495000.0,495000.0
2037,,6985.38,497000.0,497000.0
2038,,6985.38,498000.0,498000.0
2039,,6985.38,501000.0,501000.0
2040,,6985.38,502000.0,502000.0
