year,Base case cost,Modeled non-residential ashp
2017,174536.614674,202871.856095
2018,194588.128803,218146.34612
2019,223328.632389,240039.781821
2020,236696.308475,250222.77517
2021,239781.686454,250919.641096
2022,246277.505766,255823.11904
2023,251474.161215,259745.901394
2024,255371.652802,262687.98816
2025,252395.489168,258597.185568
2026,258703.289748,263312.64478
2027,263118.750154,266613.466228
2028,258947.750267,261487.06152
2029,264455.553932,265561.757953
2030,259296.538397,259606.571734
2031,264635.125203,263512.051308
