year,Base case cost,Modeled non-residential ashp
2017,1623464.02376,1885757.53046
2018,1741089.46349,1991372.17354
2019,1899883.80712,2136522.8483
2020,1973399.70695,2200269.26288
2021,2023390.51884,2241669.74078
2022,2061618.78675,2271970.58334
2023,2088084.51069,2291168.26857
2024,2111609.59863,2307696.78795
2025,2135134.68658,2324365.25957
2026,2167481.6825,2349607.83424
2027,2193947.40644,2369358.92386
2028,2214531.8584,2383615.40023
2029,2243938.21833,2406436.59334
2030,2261582.03429,2418132.18115
2031,2293929.03021,2444011.54305
