year,Base case cost,Modeled residential ashp
2017,739272.919383,1070200.03106
2018,792483.767769,1102244.17166
2019,870642.622964,1151873.98593
2020,905603.948744,1173030.93707
2021,922040.616011,1180264.68791
2022,940548.737188,1191410.47595
2023,952116.312924,1198376.59347
2024,968534.335149,1211113.44913
2025,972937.949249,1210915.60501
2026,989132.555279,1220668.16954
2027,1000700.13101,1227634.28707
2028,1002428.19197,1225681.18145
2029,1008576.40435,1226307.64398
2030,1009994.14702,1224044.22007
2031,1015763.0815,1224291.4047
