year,Base case cost,Chikuminuk lake
2021,13802236.3101,20858808.837
2022,14195836.0515,20895683.1666
2023,14493191.4804,20925494.5365
2024,14727893.9011,20952107.1337
2025,14995196.6854,20981592.9767
2026,15327127.1052,21016252.22
2027,15634021.2465,21055602.3024
2028,15870054.8359,21083546.0682
2029,16172306.9344,21118254.1078
2030,16379280.9964,21146865.4638
2031,16714554.9348,21184868.2257
2032,17081732.8215,21225047.8182
2033,17415399.9268,21261443.7469
2034,17781285.0928,21300330.6187
2035,18023020.582,21333976.2842
2036,18394855.7456,21378813.1537
2037,18640068.9583,21415936.5428
2038,19017456.5825,21466325.8728
2039,19326699.6744,21508024.9057
2040,19733997.0329,21558596.8524
2041,19762760.433,21587360.2525
2042,19801259.1376,21625858.9571
2043,19825154.8853,21649754.7048
2044,19846395.55,21670995.3695
2045,19868521.2423,21693121.0618
2046,19892416.99,21717016.8095
2047,19915870.2239,21740470.0434
2048,19938438.4301,21763038.2496
2049,19984017.3563,21808617.1758
2050,20008355.6178,21832955.4373
