year,Base case cost,Modeled residential ashp
2017,651044.017205,913407.792322
2018,697680.803057,948970.652544
2019,761283.40891,999827.46515
2020,794123.535066,1023558.11316
2021,819047.121223,1040425.15996
2022,844651.418555,1058718.99538
2023,860349.69532,1067697.86686
2024,874760.732085,1075673.84821
2025,890688.458089,1085144.23653
2026,909570.562573,1097391.92402
2027,925791.968729,1107405.9196
2028,940713.015494,1116391.90582
2029,966599.642218,1136005.94639
2030,985174.595139,1149182.1262
2031,1005036.93054,1162999.18285
