year,Base case cost,Modeled residential ashp
2017,230365.932908,535325.451124
2018,251943.555898,549963.292372
2019,274654.529743,565101.019333
2020,289468.856398,573802.391339
2021,298825.273233,577679.898544
2022,298965.663319,572598.479822
2023,303527.052823,572342.392329
2024,300198.180557,564298.423598
2025,304642.751146,564127.878698
2026,302406.00603,557223.908678
2027,307455.049651,557775.950252
2028,303366.854445,549358.741089
2029,308279.609334,549958.54063
2030,303139.135258,540743.659258
2031,299792.61046,533184.826206
