year,Base case cost,Modeled residential ashp
2017,161739.029011,288112.751434
2018,175274.094374,295933.797813
2019,188242.363169,302071.220258
2020,194530.008645,303810.508765
2021,203370.46073,308944.941112
2022,206592.073975,308778.333527
2023,214055.090959,313169.611311
2024,215704.792835,312062.769206
2025,218179.34565,311571.527578
2026,225856.286529,316333.791433
2027,233649.913169,321262.660427
2028,235809.278648,320736.814998
2029,238400.517224,320559.652113
2030,245534.597753,325233.416933
2031,248184.179209,325206.489357
