year,Base case cost,Modeled non-residential ashp
2017,513421.234357,648577.161565
2018,542619.493964,671824.793267
2019,582767.100923,704839.059904
2020,602232.607328,719582.015282
2021,614398.54883,727913.843648
2022,624131.302033,734146.473786
2023,631430.866934,738278.559093
2024,636297.243536,740308.78451
2025,643596.808437,744549.173533
2026,650896.373339,748841.818153
2027,658195.938241,753185.493652
2028,664278.908992,756500.677053
2029,671578.473894,760942.854199
2030,676444.850495,763275.903691
2031,683744.415397,767812.019338
