year,Base case cost,Modeled residential ashp
2017,23490.9585421,175710.923336
2018,25040.8288549,173695.657067
2019,28123.2443306,172813.145903
2020,30163.1012399,171885.674512
2021,30891.1570063,169943.482129
2022,32543.3151267,169097.88626
2023,32919.839886,167189.136813
2024,34345.8981822,166417.869023
2025,34734.9198176,164614.143678
2026,36366.9775683,164015.826182
2027,36768.4960799,162312.838696
2028,37112.6548042,160636.2028
2029,38740.9108081,160202.969961
2030,39036.636085,158601.217408
2031,40763.3130408,158305.524178
