year,Base case cost,Modeled transmission and interties
2021,348519.544022,1777307.70241
2022,355794.14551,1762645.42158
2023,360640.626072,1745446.08393
2024,364603.709875,1727841.7968
2025,369227.307645,1712028.99651
2026,375633.96775,1698513.63918
2027,380924.587014,1683753.18091
2028,384892.551462,1668723.41923
2029,392286.728755,1656988.06612
2030,396090.378152,1642073.41621
2031,402563.740407,1630940.72188
2032,408552.291917,1619762.09063
2033,414540.843427,1609003.27276
2034,420015.300322,1598145.67693
2035,424002.787351,1586151.47547
2036,431175.708733,1577175.0084
2037,435700.06672,1566487.88513
2038,442235.250479,1558230.07965
2039,447449.406303,1548987.88952
2040,454795.590586,1541678.77374
