year,Base case cost,Modeled residential ashp
2017,63653.4252944,153445.863393
2018,68771.9166479,157510.651698
2019,76108.4209213,163948.312609
2020,79520.7484903,166273.963621
2021,72602.5858423,158251.551871
2022,74111.7465566,158638.189645
2023,75319.075128,158732.533056
2024,76224.5715566,158533.913303
2025,77431.900128,158683.336826
2026,68505.0238582,148734.630001
2027,69423.534209,148638.264974
2028,70342.0445599,148567.244491
2029,71391.7706751,148661.689114
2030,61230.8202949,137541.131228
2031,62345.9748687,137767.776333
