year,Base case cost,Modeled non-residential ashp
2017,334542.22116,335944.3546
2018,364967.02116,362933.986147
2019,407565.759872,400919.112612
2020,427849.159872,418779.805853
2021,442047.539872,431160.441194
2022,452184.78116,439886.445957
2023,460293.522447,446792.010557
2024,466373.823735,451876.964184
2025,473463.46631,457881.544812
2026,482585.787598,465729.763775
2027,484247.427386,466324.469787
2028,490254.749961,471372.711249
2029,499280.219961,479150.323901
2030,504289.341249,483316.353224
2031,513309.602537,491105.244641
