year,Base case cost,Modeled non-residential ashp
2017,764538.875525,1058758.11695
2018,816856.850656,1109589.73676
2019,886614.15083,1177365.22985
2020,920039.52383,1209840.98695
2021,941838.680135,1231020.82854
2022,959278.005178,1247964.70181
2023,970904.221874,1259260.61733
2024,979623.884396,1267732.55396
2025,991250.101091,1279028.46948
2026,1004329.59487,1291736.37443
2027,1015955.81157,1303032.28994
2028,1026128.75118,1312916.21602
2029,1039208.24496,1325624.12097
2030,1046474.6304,1332684.06817
2031,1061007.40127,1346803.96256
