year,Base case cost,Modeled non-residential ashp
2017,1023431.11971,1254748.9364
2018,1091110.87447,1313961.80789
2019,1185452.3508,1398352.99555
2020,1228521.28564,1434625.9058
2021,1259284.81053,1459425.23634
2022,1281844.72878,1476606.24972
2023,1296201.04039,1486166.67588
2024,1310557.35201,1495819.47225
2025,1324913.66362,1505562.4739
2026,1343371.77856,1519251.15379
2027,1359778.99183,1531097.06658
2028,1374135.30345,1541098.19601
2029,1390542.51672,1553110.16022
2030,1400797.02502,1559415.86211
2031,1421306.04161,1575443.77248
