year,Base case cost,Modeled transmission and interties
2021,493022.543315,1781100.84148
2022,503549.715058,1791284.24077
2023,510567.829554,1798073.17363
2024,516708.679737,1803647.36864
2025,523726.794233,1810436.3015
2026,532499.437352,1818922.46758
2027,539517.551848,1825711.40044
2028,544781.13772,1831169.22132
2029,552676.516527,1838806.77078
2030,559081.084203,1844587.61506
2031,566992.60898,1852607.65319
2032,575783.192065,1861111.17339
2033,584573.77515,1869614.69358
2034,592153.410565,1876994.51811
2035,597416.996436,1882452.33899
2036,608308.349479,1892574.19811
2037,613582.69933,1898043.18018
2038,622373.282415,1906546.70038
2039,629405.748883,1913349.51654
2040,639075.390276,1922703.38875
