year,Base case cost,Modeled residential ashp
2017,289984.837036,661889.873843
2018,311770.617111,676076.86808
2019,343611.372604,699787.586037
2020,365988.002376,715299.735814
2021,376247.449295,719169.389895
2022,384796.988393,721575.586259
2023,397697.97866,728689.055975
2024,402929.937869,728261.228706
2025,408161.897077,727958.141726
2026,423249.895329,737520.399217
2027,429473.12278,738393.103181
2028,442234.809384,746032.95101
2029,449483.383661,748104.370249
2030,453107.670799,746887.316517
2031,469013.555047,757835.032331
