year,Base case cost,Modeled transmission and interties
2021,137563.301856,2385362.19417
2022,142601.34563,2361221.13265
2023,145717.270074,2335369.62282
2024,148621.933264,2309020.25964
2025,151750.748225,2284633.74471
2026,155859.242487,2262584.82046
2027,159727.829902,2240159.43327
2028,162401.179925,2217051.35299
2029,166546.913458,2196289.03335
2030,168747.611186,2174441.50153
2031,172913.396635,2154963.44121
2032,177840.438734,2137470.57546
2033,182035.585917,2120005.64537
2034,186734.895546,2103185.69929
2035,189473.414294,2084419.84375
2036,194195.640399,2068747.72127
2037,197446.199133,2051145.7538
2038,202192.057852,2036569.97379
2039,205958.23727,2020863.38061
2040,211225.445793,2008168.27848
