year,Base case cost,Modeled non-residential ashp
2017,21871.8197354,70044.7806743
2018,23546.6140779,70808.197717
2019,25891.3261572,72146.909381
2020,26991.9052966,72459.5541197
2021,27757.5255674,72506.2703709
2022,28331.7407705,72406.8000514
2023,28762.4021728,72200.8423508
2024,29049.5097744,71888.078731
2025,29480.1711767,71708.3499231
2026,29910.8325791,71541.2763636
2027,30341.4939814,71386.5614178
2028,30676.4528499,71163.8648393
2029,31107.1142522,71033.0049663
2030,31394.2218538,70793.5790726
2031,31872.734523,70725.4944426
