year,Base case diesel consumed,Modeled wind power,Marshall wind energy final design and permitting project
2019,116108.003815,82263.5188841,56896.5459011
2020,116614.709567,82770.2246364,57403.2516534
2021,117266.188391,83421.7034608,58054.7304778
2022,117845.28068,84000.7957491,58633.8227662
2023,118424.372968,84579.8880375,59212.9150545
2024,119075.851792,85231.3668619,59864.3938789
2025,119727.330617,85882.8456863,60515.8727033
2026,120378.809441,86534.3245107,61167.3515277
2027,121102.674802,87258.1898711,61891.2168882
2028,121754.153626,87909.6686955,62542.6957126
2029,122478.018987,88633.5340559,63266.561073
2030,123201.884347,89357.3994164,63990.4264334
2031,123925.749707,90081.2647768,64714.2917939
2032,124649.615068,90805.1301373,65438.1571543
2033,125373.480428,91528.9954977,66162.0225148
2034,126169.732325,92325.2473942,66958.2744112
2035,126893.597685,93049.1127546,67682.1397717
2036,127689.849582,93845.3646511,68478.3916682
2037,128558.488014,94714.0030836,69347.0301007
2038,129354.739911,95510.2549801,70143.2819972
