year,Base case cost,Modeled transmission and interties
2021,452647.487191,2140660.4069
2022,466667.311492,2133353.13458
2023,478434.466791,2122780.91651
2024,488210.992349,2110489.88717
2025,499262.968672,2100232.3632
2026,512813.72822,2093411.72137
2027,525585.608639,2086236.13098
2028,535718.275955,2076507.32342
2029,549926.30525,2072019.41386
2030,559336.554935,2062470.91486
2031,573776.221145,2059228.57517
2032,588346.18312,2056608.67043
2033,603046.44086,2054600.14796
2034,619493.385715,2055079.66611
2035,630661.180496,2049870.02428
2036,647387.537379,2051541.13714
2037,659505.043513,2048310.69724
2038,676525.289733,2051149.95272
2039,691101.766496,2051559.14788
2040,710126.395899,2056138.62173
