year,Base case cost,Modeled non-residential ashp
2017,17048.8866313,44579.7752233
2018,18796.2157764,44775.9947756
2019,21223.0618112,45218.2778735
2020,22436.4848286,45247.8157558
2021,23213.0755598,45134.5753017
2022,23844.0555288,44979.6612442
2023,24280.8878151,44765.9762432
2024,24620.6462599,44527.0880419
2025,25057.4785462,44330.3427327
2026,25542.8477532,44158.6574348
2027,25979.6800394,43978.0671011
2028,26367.975405,43788.3846471
2029,26853.344612,43640.0876293
2030,27144.5661362,43431.6771976
2031,27678.4722638,43314.9597673
