year,Base case cost,Modeled transmission and interties
2021,331582.745137,1422579.1507
2022,342837.511943,1414651.58951
2023,350629.273578,1403850.34767
2024,356689.532627,1392582.33549
2025,364481.294262,1382569.70547
2026,373138.80719,1374145.81871
2027,380930.568825,1365272.95286
2028,387856.579168,1355942.39837
2029,395757.385813,1347586.78416
2030,400941.980387,1337694.56743
2031,410447.070439,1331461.38267
2032,419952.160491,1325558.2279
2033,430321.349639,1320796.36147
2034,439826.439692,1315917.18725
2035,446739.232457,1308888.39557
2036,457108.421605,1305048.79575
2037,462271.537616,1297053.34601
2038,473483.347297,1294207.77885
2039,481245.369384,1289144.45511
2040,492457.179065,1287237.63391
