year,Base case cost,Modeled transmission and interties
2021,124011.644215,840171.822903
2022,127911.381454,851113.932926
2023,130851.43027,858828.946029
2024,133188.062954,865203.087854
2025,135727.439178,871977.489761
2026,139036.063983,881456.148855
2027,141559.391906,889093.611567
2028,143489.46762,894353.279222
2029,147173.622678,903953.267154
2030,148904.164512,907918.343603
2031,152174.273393,917289.4328
2032,155219.171111,926042.620494
2033,158244.810868,934740.772426
2034,161634.212123,944279.470533
2035,163626.876213,948664.820069
2036,166971.342224,958080.938525
2037,168777.311075,963002.886735
2038,172083.261163,971427.110673
2039,174365.864565,978236.535338
2040,178001.339774,988295.571553
