year,Base case cost,Modeled residential ashp
2017,658259.128773,1079784.68049
2018,742922.043776,1116123.14789
2019,842107.007108,1155194.97595
2020,893641.384681,1171038.2237
2021,927997.636396,1178022.25909
2022,951600.578102,1177200.02297
2023,963570.887023,1170368.76493
2024,962157.220913,1151746.9447
2025,971075.58409,1141020.51031
2026,982300.275862,1131499.37565
2027,993157.200019,1124527.96061
2028,1003833.57529,1117605.21642
2029,988490.241993,1083545.22783
2030,970096.66898,1050677.74986
2031,966813.285584,1027768.4065
