year,Base case cost,Modeled residential ashp
2017,247139.682843,449351.400568
2018,265588.160464,461320.388939
2019,291105.833147,479191.654861
2020,303095.64833,485821.710375
2021,311472.264,489352.489294
2022,317733.955828,491230.465723
2023,322064.917352,491536.078921
2024,325592.437473,491055.856116
2025,329895.855582,491509.246684
2026,335112.284971,492966.088045
2027,333070.147995,487219.991177
2028,336614.914457,487020.163433
2029,341366.529335,488180.50692
2030,344289.358908,487828.617505
2031,349532.787322,489608.493386
