year,annotation,consumption,consumption residential,consumption non-residential
2003,,24789100.0,8895382.0,15893718.0
2004,,25046750.0,9087263.0,15959487.0
2005,,25492460.0,9142032.0,16350428.0
2006,,25598453.0,9419251.0,16179202.0
2007,,26384160.0,9422054.0,16962106.0
2008,,25477974.0,9170918.0,16307056.0
2009,,25940390.0,9429928.0,16510462.0
2010,,25955798.0,9277052.0,16678746.0
2011,,26870373.0,9698476.0,17171897.0
2012,,26904779.0,9722079.0,17182700.0
2013,,27709561.0,9810870.0,17898691.0
2014,start of forecast,26714114.0,9296351.0,17417763.0
2015,,26684836.0,9267073.0,17417763.0
2016,,26648757.0,9230994.0,17417763.0
2017,,26610473.0,9192710.0,17417763.0
2018,,26582781.0,9165018.0,17417763.0
2019,,26572788.0,9155025.0,17417763.0
2020,,26562981.0,9145219.0,17417763.0
2021,,26549884.0,9132121.0,17417763.0
2022,,26548304.0,9130541.0,17417763.0
2023,,26551307.0,9133544.0,17417763.0
2024,,26563261.0,9145498.0,17417763.0
2025,,26573524.0,9155761.0,17417763.0
2026,,26581066.0,9163303.0,17417763.0
2027,,26580195.0,9162432.0,17417763.0
2028,,26578512.0,9160750.0,17417763.0
2029,,26640291.0,9222528.0,17417763.0
2030,,26687650.0,9269888.0,17417763.0
2031,,26720518.0,9302755.0,17417763.0
2032,,26706333.0,9288570.0,17417763.0
2033,,26680748.0,9262985.0,17417763.0
2034,,26658416.0,9240654.0,17417763.0
2035,,26650859.0,9233097.0,17417763.0
2036,,26665414.0,9247652.0,17417763.0
2037,,26698826.0,9281063.0,17417763.0
2038,,26727104.0,9309342.0,17417763.0
2039,,26736130.0,9318367.0,17417763.0
2040,,26730918.0,9313156.0,17417763.0
