year,Base case cost,Modeled transmission and interties
2021,182347.556436,2352120.59034
2022,188081.756324,2337402.44427
2023,192433.579417,2318457.33965
2024,195869.893335,2299556.15458
2025,199634.276391,2281839.31524
2026,204782.438247,2268517.88586
2027,208530.698247,2251965.64556
2028,211958.600136,2235447.76125
2029,217100.452969,2221672.75051
2030,219687.151941,2204600.81121
2031,224822.695752,2194080.24631
2032,229675.735584,2182387.58771
2033,234516.157372,2172267.30977
2034,239912.474088,2162620.11773
2035,243591.334848,2149106.66387
2036,248961.714474,2140375.93217
2037,252052.434193,2127766.89247
2038,257397.577732,2120985.57626
2039,261598.685302,2111388.83745
2040,267481.497706,2105429.52347
