year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,675792.0,324529.0,351263.0
2004,,695743.0,350405.0,345338.0
2005,,675114.0,342874.0,332240.0
2006,,687452.0,341463.0,345989.0
2007,,659855.0,337436.0,322419.0
2008,,642201.0,346255.0,295946.0
2009,,673777.0,361860.0,311917.0
2010,,732867.0,377404.0,355463.0
2011,,755648.0,373401.0,382247.0
2012,,840249.0,394621.0,445628.0
2013,,787922.0,390910.0,397012.0
2014,start of forecast,766803.0,358508.0,408296.0
2015,,766589.0,358294.0,408296.0
2016,,766301.0,358005.0,408296.0
2017,,766098.0,357802.0,408296.0
2018,,765941.0,357645.0,408296.0
2019,,765983.0,357687.0,408296.0
2020,,765722.0,357426.0,408296.0
2021,,765627.0,357331.0,408296.0
2022,,765486.0,357190.0,408296.0
2023,,764979.0,356683.0,408296.0
2024,,764710.0,356414.0,408296.0
2025,,764375.0,356079.0,408296.0
2026,,763930.0,355634.0,408296.0
2027,,763513.0,355217.0,408296.0
2028,,762809.0,354513.0,408296.0
2029,,762739.0,354443.0,408296.0
2030,,762553.0,354257.0,408296.0
2031,,762120.0,353824.0,408296.0
2032,,761111.0,352815.0,408296.0
2033,,760204.0,351909.0,408296.0
2034,,759222.0,350926.0,408296.0
2035,,758207.0,349911.0,408296.0
2036,,757509.0,349213.0,408296.0
2037,,756787.0,348492.0,408296.0
2038,,755874.0,347578.0,408296.0
2039,,755036.0,346741.0,408296.0
2040,,754072.0,345777.0,408296.0
