year,Base case cost,Modeled residential ashp
2017,521255.942881,660491.485413
2018,568657.744169,693945.678554
2019,635028.902881,742027.691937
2020,662316.760052,759178.357057
2021,684291.701339,773286.446709
2022,699991.101339,782652.798827
2023,712537.005202,789662.95778
2024,721947.267777,794333.318314
2025,728160.404947,795498.462009
2026,742183.06881,803796.145679
2027,753090.821385,809770.58278
2028,757437.551131,809606.831038
2029,771376.812418,817987.136687
2030,779118.533706,821692.681531
2031,787826.150876,824945.642116
