year,Base case cost,Modeled residential ashp
2017,2964.7278831,12038.9762204
2018,3916.72567212,11231.8941859
2019,4503.97550309,9415.40284035
2020,4778.02542421,8410.72739626
2021,4973.77536786,7614.2485093
2022,5117.32532654,6958.75100832
2023,5208.67530025,6444.07362531
2024,5300.02527396,5935.95878093
2025,5391.37524766,5434.25268244
2026,5521.8752101,4838.23009696
2027,5626.27518005,4315.36938736
2028,5704.57515751,3865.52729677
2029,5822.02512371,3320.93890625
2030,6804.93316622,3833.80072077
2031,6955.77434601,3287.27934107
