year,Base case cost,Modeled transmission and interties
2021,460714.895113,1709727.4244
2022,471976.929791,1712045.62109
2023,478547.374289,1708844.60247
2024,485445.379773,1704421.68191
2025,493116.074261,1701894.62981
2026,501882.582248,1702045.49648
2027,509553.276736,1700487.71935
2028,516128.157727,1696916.41293
2029,524152.292736,1697729.72738
2030,529635.057305,1693194.97115
2031,538407.480614,1695237.27637
2032,548276.456837,1698055.83025
2033,557048.880146,1700681.15261
2034,567300.134088,1705102.69786
2035,574657.316482,1704726.19855
2036,583054.856227,1708940.8481
2037,590040.112717,1708300.91089
2038,600332.773916,1714072.72126
2039,607337.99462,1716280.49701
2040,617924.943115,1722830.15523
