year,Base case cost,Modeled residential ashp
2017,1122602.46289,1357452.46731
2018,1201422.82834,1424495.21023
2019,1310758.48925,1519130.62519
2020,1359070.7647,1558865.98891
2021,1394665.4847,1587229.58199
2022,1420095.87015,1606521.19967
2023,1439291.33643,1620668.21804
2024,1454593.86188,1631005.27423
2025,1472445.99734,1643721.63688
2026,1492841.91734,1658809.58129
2027,1510688.34734,1671676.65301
2028,1525985.28734,1682321.04084
2029,1543843.82824,1695349.39199
2030,1556597.4837,1703847.5051
2031,1581311.08997,1723621.8424
