year,Base case cost,Galena (kalakaket creek)
2021,1917634.76711,3063039.16174
2022,1970902.39953,3110546.53195
2023,2006414.15448,3142218.11209
2024,2037486.94005,3169930.74472
2025,2072998.695,3201602.32486
2026,2117746.39526,3241549.80662
2027,2158068.63584,3277551.85054
2028,2190261.97451,3306385.03625
2029,2230623.24306,3342426.10815
2030,2257284.07863,3366206.81262
2031,2302107.58322,3406230.0987
2032,2346946.09857,3446268.39555
2033,2395840.80896,3489882.86558
2034,2445148.31519,3533910.13145
2035,2476268.38466,3561670.04797
2036,2525171.35096,3605292.77391
2037,2555859.86113,3632621.13113
2038,2604314.75631,3675795.78595
2039,2639868.54138,3707509.39621
2040,2692744.39301,3754624.98564
2041,2692289.56704,3754170.15967
2042,2691834.74107,3753715.3337
2043,2690925.08913,3752805.68176
2044,2690015.43719,3751896.02982
2045,2689105.78526,3750986.37789
2046,2687741.30735,3749621.89998
2047,2686831.65541,3748712.24804
2048,2685467.1775,3747347.77013
2049,2684102.69959,3745983.29222
2050,2682283.39571,3744163.98834
