year,Base case diesel consumed,Modeled transmission and interties
2021,446645.106419,0.0
2022,446645.106419,0.0
2023,446645.106419,0.0
2024,446645.106419,0.0
2025,446645.106419,0.0
2026,446720.160209,0.0
2027,446795.213999,0.0
2028,447020.37537,0.0
2029,447095.429161,0.0
2030,447095.429161,0.0
2031,447170.482951,0.0
2032,447245.536741,0.0
2033,447245.536741,0.0
2034,447320.590532,0.0
2035,447320.590532,0.0
2036,447320.590532,0.0
2037,447245.536741,0.0
2038,447170.482951,0.0
2039,447170.482951,0.0
2040,447095.429161,0.0
