year,Base case cost,Modeled non-residential ashp
2017,2235200.04082,2834023.77564
2018,2409719.29495,3000363.78065
2019,2652107.14791,3231391.56537
2020,2763605.56027,3337664.34635
2021,2846017.43027,3416213.79316
2022,2904190.51498,3471660.46149
2023,2942972.57146,3508624.90705
2024,2976906.87087,3540968.79691
2025,3015688.92734,3577933.24247
2026,3064166.49793,3624138.79941
2027,3107796.31147,3665723.80066
2028,3141730.61088,3698067.69052
2029,3185360.42441,3739652.69177
2030,3214446.96677,3767376.02594
2031,3262924.53736,3813581.58289
