year,Base case cost,"Galena, alaska heat recovery study"
2019,2652107.14791,2686162.17545
2020,2763605.56027,2796280.58781
2021,2846017.43027,2877672.45781
2022,2904190.51498,2935125.54252
2023,2942972.57146,2973427.599
2024,2976906.87087,3006941.89841
2025,3015688.92734,3045243.95488
2026,3064166.49793,3093121.52548
2027,3107796.31147,3136211.33901
2028,3141730.61088,3169725.63842
2029,3185360.42441,3212815.45195
2030,3214446.96677,3241541.99431
2031,3262924.53736,3289419.5649
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
