year,Base case cost,Modeled water and wastewater efficiency
2017,53629.8607549,42546.687188
2018,56119.184443,44162.614238
2019,59476.3277937,46380.2109099
2020,61093.5481995,47398.6476807
2021,62165.6698231,48042.9390281
2022,63020.2916944,48539.2837984
2023,63549.592003,48813.1846218
2024,63969.9989813,49014.0279821
2025,64496.6691566,49290.3036292
2026,65236.7080583,49715.9010101
2027,65756.3660293,49991.2540011
2028,66164.8328787,50191.728059
2029,66790.3861522,50544.0235383
2030,67196.1671006,50746.3662672
2031,67815.6466066,51098.0465661
