year,Base case cost,Modeled residential ashp
2017,1000560.37648,1173929.06859
2018,1078033.63132,1230133.68844
2019,1177564.37224,1301306.24937
2020,1237246.49009,1347597.00445
2021,1286846.47158,1387744.25927
2022,1330421.30482,1424229.54752
2023,1367608.98606,1456690.86544
2024,1395066.12609,1480209.36936
2025,1433098.48278,1513515.36271
2026,1474091.15802,1548993.9474
2027,1515646.95023,1585035.64905
2028,1552649.67507,1618099.73779
2029,1595251.25592,1655187.22808
2030,1630500.3414,1687285.40468
2031,1674107.48825,1725378.46097
