year,Base case cost,Modeled residential ashp
2017,19869.3145261,331630.380418
2018,21730.4081891,328762.916361
2019,23287.142432,324927.679946
2020,24473.728122,322120.520964
2021,25330.7066759,319382.061813
2022,24741.0980483,315527.230336
2023,25181.492265,312898.00409
2024,25496.0595625,310337.088446
2025,24696.4009202,306588.428581
2026,25175.6448547,304110.312769
2027,25594.9832974,301695.681649
2028,24594.2985434,298049.6418
2029,25049.4787363,295713.998722
2030,25277.0688327,293469.921707
2031,24425.7670148,289865.8608
