year,Base case cost,Modeled non-residential ashp
2017,160305.50075,237108.880807
2018,172348.821428,248935.692544
2019,189950.597803,266221.032775
2020,198288.28135,274408.825516
2021,203846.737047,279867.35401
2022,208478.783462,284416.127755
2023,211258.01131,287145.392002
2024,214037.239159,289874.656249
2025,216816.467008,292603.920496
2026,220522.104139,296242.939492
2027,223764.53663,299427.081113
2028,226080.559837,301701.467986
2029,229786.196968,305340.486982
2030,231639.015534,307159.99648
2031,235344.652666,310799.015476
