year,Base case cost,Modeled residential ashp
2017,672455.239498,1191762.95151
2018,739609.36008,1240884.93366
2019,824689.631556,1305342.28392
2020,883074.92884,1348975.40062
2021,934605.874443,1387542.92728
2022,980230.69281,1421674.32237
2023,1029383.19641,1460171.16304
2024,1077411.37312,1498062.91095
2025,1121691.53028,1532093.87221
2026,1175337.78773,1575373.45981
2027,1227801.01747,1617975.13083
2028,1278869.89654,1659683.07352
2029,1335263.35227,1706271.05937
2030,1385501.40853,1747822.78525
2031,1443655.88881,1796524.34959
