year,Base case cost,Modeled transmission and interties
2021,90872.1042758,1747451.25431
2022,92899.6765822,1723040.37763
2023,94189.949868,1698664.30531
2024,95295.8983988,1674597.65741
2025,96586.1716846,1651404.37247
2026,98060.7697256,1629070.75394
2027,99351.0430115,1607005.46287
2028,100456.991542,1585339.92823
2029,101931.589583,1564494.86687
2030,102853.213359,1543590.87646
2031,104327.8114,1523916.21051
2032,105986.734196,1504736.53465
2033,107461.332237,1486040.24734
2034,109120.255033,1467816.01947
2035,109652.108754,1449165.52238
2036,111302.391327,1431844.95517
2037,112219.214979,1414532.81229
2038,114465.672932,1398555.33063
2039,115755.946217,1382241.55489
2040,116803.333237,1366282.28869
