year,Base case cost,Modeled non-residential ashp
2017,567905.812686,732054.268806
2018,608782.124132,767986.612507
2019,663876.283036,816417.162712
2020,690534.747023,839851.299908
2021,708307.056347,855474.058039
2022,722524.903806,867972.264543
2023,731411.058468,875783.643608
2024,738519.982198,882032.746861
2025,747406.13686,889844.125926
2026,759846.753387,900780.056617
2027,768732.908049,908591.435683
2028,775841.831778,914840.538935
2029,786505.217373,924214.193813
2030,793614.141102,930463.297066
2031,804277.526697,939836.951944
