year,Base case cost,Modeled transmission and interties
2021,107674.014445,900091.871317
2022,110242.778209,887799.79063
2023,111955.287385,875285.287962
2024,113453.732914,862815.270235
2025,115166.24209,850931.387965
2026,117306.87856,839489.056577
2027,119629.743571,828589.562453
2028,121135.873436,817464.906063
2029,123072.326119,806899.594245
2030,124363.294575,796059.069064
2031,126299.747259,786178.719299
2032,128451.361352,776424.294679
2033,130602.975445,767065.581799
2034,132969.750947,757958.554313
2035,134260.719403,748545.368952
2036,136627.494905,739924.153732
2037,137918.463361,730985.394436
2038,140285.238863,722965.471885
2039,142006.530138,714617.1466
2040,144373.30564,707039.067778
