year,Base case cost,Modeled non-residential ashp
2017,195116.985349,301388.412632
2018,209078.076599,316367.032997
2019,227447.933506,336387.776929
2020,235898.067684,345133.303128
2021,241776.421894,350970.726374
2022,246185.187552,355154.70602
2023,249124.364657,357684.771493
2024,251696.144624,359815.604474
2025,254635.321729,362383.517002
2026,258309.293111,365806.451225
2027,261248.470216,368410.457519
2028,263820.250183,370613.498333
2029,267126.824426,373670.306731
2030,269331.207255,375488.582072
2031,272637.781498,378578.217558
