year,Base case diesel consumed,Kivalina wind-intertie feasibility analysis & conceptual design,Modeled wind power
2019,98637.6253526,42891.4717693,65973.352481
2020,98560.4807528,42814.3271695,65896.2078811
2021,98637.6253526,42891.4717693,65973.352481
2022,98869.0591521,43122.9055688,66204.7862805
2023,99331.926751,43585.7731678,66667.6538794
2024,99563.3605505,43817.2069672,66899.0876789
2025,99794.79435,44048.6407667,67130.5214784
2026,99871.9389498,44125.7853666,67207.6660782
2027,99949.0835497,44202.9299664,67284.8106781
2028,99871.9389498,44125.7853666,67207.6660782
2029,99871.9389498,44125.7853666,67207.6660782
2030,100026.228149,44280.0745662,67361.9552779
2031,100257.661949,44511.5083657,67593.3890774
2032,100334.806549,44588.6529655,67670.5336772
2033,100489.095748,44742.9421652,67824.8228768
2034,100489.095748,44742.9421652,67824.8228768
2035,100489.095748,44742.9421652,67824.8228768
2036,100566.240348,44820.086765,67901.9674767
2037,100566.240348,44820.086765,67901.9674767
2038,100566.240348,44820.086765,67901.9674767
