year,Base case cost,Modeled non-residential ashp
2017,5458.26113777,15272.4303151
2018,6055.69424608,14342.2433194
2019,6912.88087974,13113.0588442
2020,7302.51116777,12437.0430523
2021,7588.24004565,11887.9262365
2022,7796.04286593,11435.1488448
2023,7951.89498114,11048.1541556
2024,8081.77174382,10696.3881757
2025,8211.64850649,10349.2996395
2026,8393.47597424,9945.90088704
2027,8549.32808945,9577.40190828
2028,8679.20485213,9243.69814673
2029,8835.05696734,8883.80948799
2030,8938.95837748,8588.95326163
2031,9120.78584522,8206.83702006
