year,Base case cost,Modeled non-residential ashp
2017,219720.293128,101144.03115
2018,240681.898536,72004.3753494
2019,269429.243096,33831.1703468
2020,283802.915376,12635.1486902
2021,293385.363563,-2835.08210659
2022,300572.199703,-15394.1366586
2023,305962.326808,-25747.3936443
2024,310154.647889,-34600.1780045
2025,314945.871982,-44063.8810568
2026,321533.805111,-55546.7823522
2027,326923.932216,-65535.690751
2028,331116.253297,-74032.6659206
2029,337105.283414,-84555.0189433
2030,340099.798472,-91480.2339238
2031,346687.731601,-102543.88921
