year,Base case cost,Modeled residential ashp
2017,20332.7680441,146353.502576
2018,21940.9841734,139825.992936
2019,24208.9812788,131525.585658
2020,25281.125365,126574.969937
2021,26023.3789632,122581.903043
2022,26559.4510063,119203.702746
2023,26930.5778054,116325.43851
2024,27260.4682934,113604.478523
2025,29453.3008491,112633.784478
2026,29936.8053362,109684.992685
2027,30376.35487,106887.803137
2028,30684.0395436,104463.556271
2029,31167.5440308,101633.315715
2030,31431.273751,99396.4762635
2031,31914.7782382,96640.7112983
