year,Base case cost,"Jade creek, east fork"
2021,482099.086927,877048.332754
2022,493160.633855,876920.451931
2023,501456.79405,874710.054574
2024,507909.363091,871179.098693
2025,515283.72771,868623.83531
2026,524501.683483,867806.461167
2027,532378.860516,866001.960992
2028,538402.298013,862847.420833
2029,546685.410291,861832.862984
2030,552207.485142,858706.677002
2031,561410.943228,858823.972548
2032,570164.973008,858668.53654
2033,579361.18225,859127.835222
2034,589012.361538,860055.905541
2035,594974.908749,858078.744798
2036,605074.79146,859780.784938
2037,610583.818392,857822.456894
2038,620193.679273,859344.673544
2039,627533.249441,859210.396998
2040,638038.085177,861768.707175
2041,638038.085177,855821.434482
2042,637533.56566,849509.031336
2043,637029.046142,843332.750771
2044,637029.046142,837793.921573
2045,636524.526625,831880.389267
2046,636524.526625,826598.149986
2047,636524.526625,821439.713389
2048,636020.007107,815897.658
2049,636020.007107,810978.189299
2050,635515.48759,805669.501269
