year,annotation,Average Load
2003,,138.0
2004,,154.0
2005,,140.0
2006,,144.0
2007,,147.0
2008,,137.0
2009,,137.0
2010,,142.0
2011,,142.0
2012,,145.0
2013,,140.0
2014,start of forecast,139.0
2015,,139.0
2016,,139.0
2017,,139.0
2018,,139.0
2019,,138.0
2020,,138.0
2021,,138.0
2022,,138.0
2023,,138.0
2024,,138.0
2025,,138.0
2026,,138.0
2027,,138.0
2028,,138.0
2029,,138.0
2030,,138.0
2031,,138.0
2032,,138.0
2033,,138.0
2034,,138.0
2035,,138.0
2036,,138.0
2037,,138.0
2038,,138.0
2039,,138.0
2040,,138.0
