year,Base case cost,Modeled residential ashp
2017,262623.9848,390924.238872
2018,281432.437177,409329.95078
2019,306178.009553,434132.001307
2020,317572.38193,444680.33379
2021,325499.143514,451555.449665
2022,331447.985099,456350.810073
2023,335411.885891,459058.509864
2024,338881.286683,461272.802127
2025,342845.497475,464051.937447
2026,347806.25906,467931.724968
2027,351778.000644,470786.221662
2028,355255.332229,473144.144061
2029,359715.173021,476586.32023
2030,362690.943813,478470.96202
2031,367151.114605,481975.159754
