year,Base case cost,Modeled non-residential ashp
2017,262623.9848,352398.833088
2018,281432.437177,371660.434104
2019,306178.009553,397299.816636
2020,317572.38193,408662.845092
2021,325499.143514,416332.809279
2022,331447.985099,421903.966134
2023,335411.885891,425368.846109
2024,338881.286683,428322.477428
2025,342845.497475,431823.759247
2026,347806.25906,436409.022977
2027,351778.000644,439952.255449
2028,355255.332229,442982.676655
2029,359715.173021,447081.842232
2030,362690.943813,449607.750085
2031,367151.114605,453738.550348
